Language,"ENGLISH","RUSSIAN"

STR_FIELD_REPAIR,"Field repair","Полевой ремонт"
STR_CANCEL_ACTION,"Cancel action","Отмена действия"
STR_SERIOUS_REPAIR,"Full repair","Капитальный ремонт"
STR_REPAIR_CONDITIONS,"Condition for repair is not met","Нет условий для ремонта"
STR_ANOTHER_ACTION,"Another action in progress","Другое действие уже в процессе"
STR_NEED_TOOLKIT,"Need repair tools in yours or vehicle inventory","Нужен набор инструментов в снаряжении или в технике"
STR_REPAIR_INTERRUPTED,"Repair interrupted","Ремонт прерван"
STR_REPAIR_FINISHED,"Repair completed","Ремонт завершен"
STR_REPAIR_MSG_STRING,"%2 will be repaired in %1 sec.","%2 будет починен через %1 сек."
STR_REPAIR_TRUCK_DEPLETED,"Repair truck is depleted","В ремонтном грузовике недостаточно запчастей"
STR_NO_REPAIR_TRUCK,"Too far from repair vehicle","Слишком далеко от ремонтной техники"
STR_NO_ENOGH_SKILLS,"You havent needed skill to perform full repair of this vehicle.","Ваших умений не хватает чтобы починить эту технику"


STR_DRAG_STATIC, "Drag", "Перетащить"
STR_RELEASE_STATIC,"Drop %1", "Бросить %1"
STR_BR_LOWGEAR,"High-climbing gear","Пониженная передача"
STR_ACTION_LOWGEARON,"High-climbing gear on","Включить пониженную передачу"
STR_ACTION_LOWGEAROFF,"High-climbing gear off","Выключить пониженную передачу"

STR_BOAT_ERR,"Boat must be without crew!","Лодка должна быть без экипажа!"
STR_PUSH_BOAT,"Push boat","Толкнуть лодку"

STR_REARM_TIMELEFT,"Rearm will be completed in","Перевооружение завершится через"
STR_ACTION_REAMMO,"Rearm vehicle","Перевооружениe"
STR_COMPLETED_REAMMO,"Reammo is completed","Перевооружение завершено"
STR_WARNING_NoAmmoVehcile,"You are far from the rearm vehicle","Вы находитесь слишком далеко от техники с боеприпасами"

STR_WMT_Enable,"Enable","Включено"
STR_WMT_Disable,"Disable","Отключен"

STR_WMT_ModuleFieldRepair,"Field repair","Полевой ремонт"
STR_WMT_ModuleFullRepair,"Repair mod","Мод ремонта"
STR_WMT_ModuleVehicleCrew,"Show vehicle crew","Показывать экипаж"
STR_WMT_ModulePushBoat,"Push boat","Толкание лодок"
STR_WMT_ModuleLowGear,"Low gear option","Повышенная передача"
STR_WMT_ModuleReammo,"Rearm mod","Мод перевооружения"
STR_WMT_ModuleStaticWeaponDrag,"Moving static weapon","Перемещение статического оружия"
